City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aklavik,CA,68.2191,-135.0107,35.6,87,75,17.27,broken clouds
1,Kahului,US,20.8947,-156.47,82.98,74,20,12.66,few clouds
2,Dikson,RU,73.5069,80.5464,29.84,96,100,18.88,light snow
3,Mataura,NZ,-46.1927,168.8643,39.15,96,7,1.9,clear sky
4,Port Elizabeth,ZA,-33.918,25.5701,52.09,76,40,3.44,scattered clouds
5,Cabo San Lucas,MX,22.8909,-109.9124,91.81,50,1,4.61,clear sky
6,Kokopo,PG,-4.352,152.2633,76.03,88,100,4.36,overcast clouds
7,Carahue,CL,-38.7,-73.1667,48.4,68,100,1.36,overcast clouds
8,Kodiak,US,57.79,-152.4072,47.71,76,1,6.91,clear sky
9,Lakatoro,VU,-16.0999,167.4164,74.53,76,100,7.34,overcast clouds
10,Ballitoville,ZA,-29.539,31.2144,65.25,82,0,14.83,clear sky
11,Atuona,PF,-9.8,-139.0333,79.7,80,26,19.62,light rain
12,Albany,US,42.6001,-73.9662,80.74,71,92,1.99,overcast clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,57.99,53,75,11.99,broken clouds
14,Eyl,SO,7.9803,49.8164,80.96,71,73,22.75,broken clouds
15,Vallenar,CL,-28.5708,-70.7581,80.35,8,100,6.11,overcast clouds
16,Cherlak,RU,54.155,74.8055,69.04,68,100,8.88,light rain
17,Yellowknife,CA,62.456,-114.3525,64.33,42,20,5.99,few clouds
18,Port Alfred,ZA,-33.5906,26.891,65.19,45,62,11.34,broken clouds
19,Salalah,OM,17.0151,54.0924,84.29,79,20,4.61,few clouds
20,Trairi,BR,-3.2778,-39.2689,82.56,73,94,10.2,overcast clouds
21,Neiafu,TO,-18.65,-173.9833,75.88,100,20,0.0,few clouds
22,Ostrovnoy,RU,68.0531,39.5131,34.11,66,10,2.93,clear sky
23,Kovdor,RU,67.5662,30.4758,32.2,89,94,4.9,overcast clouds
24,Victoria,HK,22.2855,114.1577,86.38,83,82,4.0,broken clouds
25,East London,ZA,-33.0153,27.9116,62.89,61,92,7.76,overcast clouds
26,Punta Arenas,CL,-53.15,-70.9167,41.11,88,90,12.59,light rain
27,Rikitea,PF,-23.1203,-134.9692,74.3,68,41,4.9,scattered clouds
28,Broome,US,42.2506,-75.833,82.0,56,90,4.0,overcast clouds
29,Khovu-Aksy,RU,51.1333,93.6,40.1,86,65,4.12,broken clouds
30,West Bay,KY,19.3667,-81.4167,83.07,79,40,1.99,scattered clouds
31,Oriximina,BR,-1.7656,-55.8661,84.97,70,93,4.72,overcast clouds
32,Busselton,AU,-33.65,115.3333,44.1,67,74,15.01,broken clouds
33,Bredasdorp,ZA,-34.5322,20.0403,52.92,53,95,5.01,overcast clouds
34,Bluff,NZ,-46.6,168.3333,47.39,66,74,8.9,broken clouds
35,Klyuchi,RU,52.2667,79.1667,70.75,30,68,9.1,broken clouds
36,Kapaa,US,22.0752,-159.319,78.78,77,40,1.01,light rain
37,Vaini,TO,-21.2,-175.2,71.76,100,90,9.22,light rain
38,Provideniya,RU,64.3833,-173.3,33.91,75,90,13.42,overcast clouds
39,Diffa,NE,13.3154,12.6113,91.38,11,0,5.95,clear sky
40,Saint-Philippe,RE,-21.3585,55.7679,72.95,83,95,11.77,light rain
41,Ahipara,NZ,-35.1667,173.1667,57.76,71,90,16.37,overcast clouds
42,Bethel,US,41.3712,-73.414,88.11,52,75,1.01,broken clouds
43,Jamestown,US,42.097,-79.2353,78.01,64,90,13.8,overcast clouds
44,Phan Thiet,VN,10.9333,108.1,78.28,92,100,7.31,overcast clouds
45,Abilene,US,32.4487,-99.7331,82.89,62,75,5.99,broken clouds
46,Meulaboh,ID,4.1363,96.1285,77.7,89,100,5.01,overcast clouds
47,Dzhida,RU,50.6772,106.1806,37.94,64,84,6.89,broken clouds
48,Fukue,JP,32.6881,128.8419,63.73,87,100,8.23,light rain
49,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,85,75,1.28,broken clouds
50,Jawhar,SO,2.7809,45.5005,76.01,79,57,13.42,broken clouds
51,Nioro,GM,13.35,-15.75,90.5,25,18,14.88,few clouds
52,Nautla,MX,20.2167,-96.7833,85.05,63,20,10.78,few clouds
53,Tarko-Sale,RU,64.9225,77.785,51.28,73,100,10.76,overcast clouds
54,Fortuna,US,40.5982,-124.1573,73.42,66,1,3.0,clear sky
55,Hobart,AU,-42.8794,147.3294,49.12,89,100,4.0,overcast clouds
56,Gimli,CA,50.6336,-96.9907,56.05,76,100,3.44,overcast clouds
57,Nikolskoye,RU,59.7035,30.7861,53.49,98,67,5.01,moderate rain
58,Horta,PT,38.5333,-28.6333,64.04,59,20,14.97,few clouds
59,Butte,US,39.6499,-121.5677,74.75,28,1,8.12,clear sky
60,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,92.79,34,15,6.44,few clouds
61,Jaciara,BR,-15.9653,-54.9683,70.83,94,100,6.53,overcast clouds
62,Coihaique,CL,-45.5752,-72.0662,52.41,93,90,9.22,light rain
63,Mahebourg,MU,-20.4081,57.7,73.69,83,40,6.91,light rain
64,Great Yarmouth,GB,52.6083,1.7305,54.45,77,100,18.14,overcast clouds
65,Bilibino,RU,68.0546,166.4372,27.73,85,12,2.53,few clouds
66,Ushuaia,AR,-54.8,-68.3,46.06,71,40,13.8,scattered clouds
67,Yabelo,ET,4.8833,38.0833,61.56,78,74,7.58,broken clouds
68,Cape Town,ZA,-33.9258,18.4232,64.81,43,0,6.69,clear sky
69,Kavieng,PG,-2.5744,150.7967,81.52,82,100,14.18,light rain
70,Bethanien,NA,-26.502,17.1583,66.96,26,0,8.48,clear sky
71,Loralai,PK,30.3705,68.598,71.55,42,0,6.98,clear sky
72,Khatanga,RU,71.9667,102.5,34.66,93,100,5.93,overcast clouds
73,Qaqortoq,GL,60.7167,-46.0333,43.3,74,100,8.59,overcast clouds
74,Athabasca,CA,54.7169,-113.2854,63.01,56,100,7.56,overcast clouds
75,Opuwo,NA,-18.0607,13.84,67.26,34,0,7.74,clear sky
76,Morozovsk,RU,48.3539,41.8261,67.17,81,100,8.14,overcast clouds
77,Gornopravdinsk,RU,60.05,69.9,58.73,54,0,8.9,clear sky
78,Tuatapere,NZ,-46.1333,167.6833,43.07,89,61,3.91,broken clouds
79,Tamala,RU,52.541,43.2515,59.13,97,92,7.83,overcast clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,82.36,85,29,5.01,scattered clouds
81,Washougal,US,45.5826,-122.3534,62.26,75,90,1.01,overcast clouds
82,Kungurtug,RU,50.5994,97.5228,38.34,95,100,3.8,overcast clouds
83,Mackay,AU,-21.15,149.2,67.68,80,9,16.4,clear sky
84,Laguna,US,38.421,-121.4238,76.64,43,1,4.0,clear sky
85,Patrasaer,IN,23.2167,87.5167,87.39,50,0,4.16,clear sky
86,Port-Gentil,GA,-0.7193,8.7815,82.36,83,90,10.36,overcast clouds
87,Qaanaaq,GL,77.484,-69.3632,30.31,72,1,2.73,clear sky
88,Tasiilaq,GL,65.6145,-37.6368,30.36,96,100,7.7,snow
89,Chapais,CA,49.7834,-74.8492,46.4,49,20,16.11,few clouds
90,Escanaba,US,45.7453,-87.0646,59.97,66,90,9.22,overcast clouds
91,Souillac,MU,-20.5167,57.5167,73.78,83,40,12.91,light rain
92,Dwarka,IN,22.2394,68.9678,84.58,76,0,14.88,clear sky
93,Maputo,MZ,-25.9653,32.5892,68.23,79,20,4.61,few clouds
94,Maniitsoq,GL,65.4167,-52.9,32.76,90,100,23.6,light snow
95,Ponta Do Sol,PT,32.6667,-17.1,67.01,61,87,7.85,overcast clouds
96,Coquimbo,CL,-29.9533,-71.3436,64.13,49,0,8.19,clear sky
97,Hofn,IS,64.2539,-15.2082,43.52,75,87,15.01,overcast clouds
98,Novobiryusinskiy,RU,56.9578,97.7076,45.23,94,100,4.9,overcast clouds
99,Neftcala,AZ,39.3742,49.2472,69.98,71,98,4.76,overcast clouds
100,Luderitz,NA,-26.6481,15.1594,72.07,37,0,4.14,clear sky
101,Salym,RU,60.0625,71.4789,56.46,62,0,7.76,clear sky
102,Kapit,MY,2.0167,112.9333,72.91,98,100,0.92,overcast clouds
