City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kahului,US,82.98,few clouds,20.8947,-156.47,
6,Kokopo,PG,76.03,overcast clouds,-4.352,152.2633,
11,Atuona,PF,79.7,light rain,-9.8,-139.0333,
12,Albany,US,80.74,overcast clouds,42.6001,-73.9662,
14,Eyl,SO,80.96,broken clouds,7.9803,49.8164,
15,Vallenar,CL,80.35,overcast clouds,-28.5708,-70.7581,
19,Salalah,OM,84.29,few clouds,17.0151,54.0924,
20,Trairi,BR,82.56,overcast clouds,-3.2778,-39.2689,
21,Neiafu,TO,75.88,few clouds,-18.65,-173.9833,
24,Victoria,HK,86.38,broken clouds,22.2855,114.1577,
28,Broome,US,82.0,overcast clouds,42.2506,-75.833,
30,West Bay,KY,83.07,scattered clouds,19.3667,-81.4167,
31,Oriximina,BR,84.97,overcast clouds,-1.7656,-55.8661,
36,Kapaa,US,78.78,light rain,22.0752,-159.319,
42,Bethel,US,88.11,broken clouds,41.3712,-73.414,
43,Jamestown,US,78.01,overcast clouds,42.097,-79.2353,
44,Phan Thiet,VN,78.28,overcast clouds,10.9333,108.1,
45,Abilene,US,82.89,broken clouds,32.4487,-99.7331,
46,Meulaboh,ID,77.7,overcast clouds,4.1363,96.1285,
50,Jawhar,SO,76.01,broken clouds,2.7809,45.5005,
52,Nautla,MX,85.05,few clouds,20.2167,-96.7833,
69,Kavieng,PG,81.52,light rain,-2.5744,150.7967,
80,Puerto Ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,
84,Laguna,US,76.64,clear sky,38.421,-121.4238,
85,Patrasaer,IN,87.39,clear sky,23.2167,87.5167,
86,Port-Gentil,GA,82.36,overcast clouds,-0.7193,8.7815,
92,Dwarka,IN,84.58,clear sky,22.2394,68.9678,
103,Avarua,CK,80.65,few clouds,-21.2078,-159.775,
104,Real,PH,84.22,clear sky,14.6625,121.6047,
105,Faanui,PF,81.12,scattered clouds,-16.4833,-151.75,
107,Isla Vista,US,76.35,clear sky,34.4133,-119.861,
109,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,
111,Jieshi,CN,81.81,broken clouds,22.8134,115.8257,
113,Vaitape,PF,81.1,scattered clouds,-16.5167,-151.75,
115,Hit,IQ,81.37,clear sky,33.6416,42.8251,
117,Kavaratti,IN,83.43,overcast clouds,10.5669,72.642,
122,Hithadhoo,MV,83.79,overcast clouds,-0.6,73.0833,
125,Coruripe,BR,79.5,scattered clouds,-10.1256,-36.1756,
127,Manta,EC,80.38,broken clouds,-0.95,-80.7333,
129,Butaritari,KI,82.63,light rain,3.0707,172.7902,
131,Hilo,US,80.8,broken clouds,19.7297,-155.09,
133,Lamu,KE,78.93,scattered clouds,-2.2717,40.902,
137,Tual,ID,82.04,overcast clouds,-5.6667,132.75,
138,Port Blair,IN,82.6,overcast clouds,11.6667,92.75,
